candidate_id,candidate_name,latitude,longitude,district,mclp_selected,pmedian_selected,pmp_selected,selected_by_both,selected_model_count,mclp_covered_demand_weight,mclp_covered_demand_count,pmedian_assigned_demand_weight,pmedian_mean_assignment_distance_m,ahp_score,source_record_count,merge_method,merge_warning,mclp_coverage_norm,pmedian_distance_quality_norm,ahp_score_norm,preliminary_priority_score
STOP_019,단계동_1번_임시정류장,37.349819,127.938994,단계동,True,False,False,False,1,0.5044591655170072,2,0.0,,0.2522699406972161,2,exact_id,,0.3640528782100718,,0.31201799802280733,0.25424397183713116
STOP_020,단계동_2번_임시정류장,37.34717,127.931016,단계동,False,False,False,False,0,0.0,0,0.0,,0.1776524389717032,2,exact_id,,0.0,,0.20322723065942258,0.11290401703301255
STOP_021,단계동_3번_임시정류장,37.353926,127.932777,단계동,True,True,True,True,2,0.3014791397540172,1,0.3014791397540172,0.0,0.3014791397540172,2,exact_id,,0.21756835052300427,1.0,0.3837639879437818,0.5837729600849909
STOP_022,단계동_4번_임시정류장,37.337242,127.953744,단계동,True,True,True,True,2,0.3239462388721336,1,0.3239462388721336,0.0,0.3239462388721336,2,exact_id,,0.23378217447166535,1.0,0.41652055171189567,0.6055741230558677
STOP_023,단계동_5번_임시정류장,37.346881,127.938174,단계동,False,True,True,False,1,0.0,0,0.9213808519636748,344.1466099478759,0.2521892248197911,2,exact_id,,0.0,0.2658019161403332,0.3119003159503657,0.23234504578138834
STOP_024,단계동_6번_임시정류장,37.343617,127.936056,단계동,True,False,False,False,1,0.2392692474749643,1,0.0,,0.2392692474749643,2,exact_id,,0.17267335825119828,,0.2930632573896036,0.20118477816115715
STOP_025,무실동_1번_임시정류장,37.320093,127.930139,무실동,True,False,False,False,1,1.1074814744755572,5,0.0,,0.3689421094346924,2,exact_id,,0.7992357873683397,,0.48212359621868583,0.4454543950922343
STOP_026,무실동_2번_임시정류장,37.317373,127.932901,무실동,False,False,False,False,0,0.0,0,0.0,,0.1691692993774424,2,exact_id,,0.0,,0.19085898936523837,0.10603277186957688
STOP_027,무실동_3번_임시정류장,37.315301,127.927621,무실동,False,False,False,False,0,0.0,0,0.0,,0.1350525795989759,2,exact_id,,0.0,,0.1411175206911151,0.07839862260617506
STOP_028,무실동_4번_임시정류장,37.31854,127.930576,무실동,False,True,True,False,1,0.0,0,1.242534054074533,215.33289052005568,0.3569699645018551,2,exact_id,,0.0,0.5406114980015828,0.4646684576237186,0.3782850315690843
STOP_029,무실동_5번_임시정류장,37.3205,127.929734,무실동,False,False,False,False,0,0.0,0,0.0,,0.1741373236649834,2,exact_id,,0.0,,0.198102265567512,0.11005681420417335
STOP_030,무실동_6번_임시정류장,37.311487,127.944349,무실동,True,True,True,True,2,0.427635894524934,1,0.427635894524934,0.0,0.427635894524934,2,exact_id,,0.3086118537824293,1.0,0.5676979155374701,0.7061903650280232
STOP_031,무실동_7번_임시정류장,37.316912,127.931444,무실동,False,False,False,False,0,0.0,0,0.0,,0.0382627774965839,2,exact_id,,0.0,,0.0,0.0
STOP_032,반곡관설동_1번_임시정류장,37.353236,127.994764,반곡관설동,False,False,False,False,0,0.0,0,0.0,,0.1721560755302285,2,exact_id,,0.0,,0.19521364694677407,0.10845202608154116
STOP_033,반곡관설동_2번_임시정류장,37.351647,127.996765,반곡관설동,True,False,False,False,1,0.734483652113107,3,0.0,,0.177878347365112,2,exact_id,,0.5300545729523611,,0.20355660040384493,0.230876905324883
STOP_034,반곡관설동_3번_임시정류장,37.35145,127.986811,반곡관설동,True,False,False,False,1,0.521664897613737,2,0.0,,0.2361222633647778,2,exact_id,,0.376469733170188,,0.28847501993444224,0.24392384066806527
STOP_035,반곡관설동_4번_임시정류장,37.348458,127.996115,반곡관설동,False,True,True,False,1,0.0,0,0.734483652113107,301.2567328154553,0.3844492292177665,2,exact_id,,0.0,0.3573026448918649,0.5047326547074362,0.35980761814676787
STOP_036,반곡관설동_5번_임시정류장,37.350718,127.982895,반곡관설동,False,True,True,False,1,0.0,0,0.521664897613737,177.79305679149348,0.2855426342489592,2,exact_id,,0.0,0.6206985109060403,0.3605288939927166,0.3382268324195182
STOP_037,반곡관설동_6번_임시정류장,37.33023,127.991815,반곡관설동,True,True,True,True,2,0.2153882863753108,1,0.3999562817136045,266.9894567146974,0.2153882863753108,2,exact_id,,0.15543919299653108,0.4304080241837811,0.25824531222489516,0.37365788838723335
STOP_038,반곡관설동_7번_임시정류장,37.334406,127.988833,반곡관설동,True,False,False,False,1,0.1845679953382937,1,0.0,,0.1845679953382937,2,exact_id,,0.13319712381378793,,0.21330996817365483,0.14810489872176114
STOP_039,지정면_1번_임시정류장,37.39957,127.932846,지정면,True,True,True,True,2,0.2736624162646717,1,0.2736624162646717,0.0,0.2736624162646717,2,exact_id,,0.19749386493348922,1.0,0.3432077829789849,0.5567807383068781
STOP_040,지정면_2번_임시정류장,37.401368,127.924519,지정면,True,False,False,False,1,0.1982114292636308,1,0.0,,0.1982114292636308,2,exact_id,,0.14304317623727283,,0.23320181139924442,0.16134393438564087
STOP_041,지정면_3번_임시정류장,37.39025,127.936215,지정면,True,True,True,True,2,0.2458299890131952,1,0.2458299890131952,0.0,0.2458299890131952,2,exact_id,,0.17740804641517974,1.0,0.30262868225524114,0.5297732782340628
STOP_042,지정면_4번_임시정류장,37.405202,127.929423,지정면,True,True,True,True,2,0.2201680810642683,1,0.4183795103278991,303.88759441946263,0.2201680810642683,2,exact_id,,0.158888625840089,0.3516899975702634,0.2652141535828379,0.36080311274832155
STOP_043,지정면_5번_임시정류장,37.39985,127.914597,지정면,False,True,True,False,1,0.0,0,0.1712113485454523,0.0,0.1712113485454523,2,exact_id,,0.0,1.0,0.193836254629342,0.3299090303496345
STOP_044,지정면_6번_임시정류장,37.396289,127.939335,지정면,True,True,True,True,2,0.2822185553449144,1,0.2822185553449144,0.0,0.2822185553449144,2,exact_id,,0.20366857097800262,1.0,0.355682456007192,0.5650832691102183
